fiscal_year,agency_name,vendor_name,vendor_clean,vendor_zip,amount,fiscal_period,date,category
2022,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST MARTINS LUTHERAN CHURCH SCHOOL,ST MARTINS LUTHERAN CHURCH SCHOOL,21403,30204,1,2022 Jan 01 12:00:00 AM,614
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,ST MARTINS LUTHERAN CHURCH SCHOOL,ST MARTINS LUTHERAN CHURCH SCHOOL,21403,55000,1,2022 Jan 01 12:00:00 AM,R00
2023,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST MARTINS LUTHERAN CHURCH SCHOOL,ST MARTINS LUTHERAN CHURCH SCHOOL,21403,29335,1,2023 Jan 01 12:00:00 AM,614
2023,STATE DEPARTMENT OF EDUCATION,ST MARTINS LUTHERAN CHURCH SCHOOL,ST MARTINS LUTHERAN CHURCH SCHOOL,21403,28860,1,2023 Jan 01 12:00:00 AM,R00
2019,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST MARY OF THE MILLS CATHOLIC CHURCH,ST MARY OF THE MILLS CATHOLIC CHURCH,20707,26299,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2019,MARYLAND STATE DEPARTMENT OF EDUCATION,ST MARY OF THE MILLS CATHOLIC CHURCH,ST MARY OF THE MILLS CATHOLIC CHURCH,20707,960,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2016,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST MARY'S CATHOLIC CHURCH,ST MARY'S CATHOLIC CHURCH,20784,48200,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2016,MARYLAND STATE DEPARTMENT OF EDUCATION,ST MARY'S CATHOLIC CHURCH,ST MARY'S CATHOLIC CHURCH,20784,2500,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2018,DEPARTMENT OF DISABILITIES,ST MARY'S CATHOLIC CHURCH,ST MARY'S CATHOLIC CHURCH,20784,3675,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2018,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST MARY'S CATHOLIC CHURCH,ST MARY'S CATHOLIC CHURCH,20784,72876,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2018,MARYLAND STATE DEPARTMENT OF EDUCATION,ST MARY'S CATHOLIC CHURCH,ST MARY'S CATHOLIC CHURCH,20784,3008.77,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2019,DEPARTMENT OF DISABILITIES,ST MARY'S CATHOLIC CHURCH,ST MARY'S CATHOLIC CHURCH,20784,1225,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2019,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST MARY'S CATHOLIC CHURCH,ST MARY'S CATHOLIC CHURCH,20784,24240,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2019,MARYLAND STATE DEPARTMENT OF EDUCATION,ST MARY'S CATHOLIC CHURCH,ST MARY'S CATHOLIC CHURCH,20784,2642.29,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2021,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST MARY'S CATHOLIC CHURCH,ST MARY'S CATHOLIC CHURCH,20784,31032,1,2021 Jan 01 12:00:00 AM,614
2024,IAC ON SCHOOL CONSTRUCTION - CAPITAL,ST MARY'S CATHOLIC CHURCH,ST MARY'S CATHOLIC CHURCH,20784,20040,1,2024 Jan 01 12:00:00 AM,614
2024,STATE DEPARTMENT OF EDUCATION,ST MARY'S CATHOLIC CHURCH,ST MARY'S CATHOLIC CHURCH,20784,5275.16,1,2024 Jan 01 12:00:00 AM,R00
2025,IAC ON SCHOOL CONSTRUCTION - CAPITAL,ST MARY'S CATHOLIC CHURCH,ST MARY'S CATHOLIC CHURCH,20784,28340.08,1,2025 Jan 01 12:00:00 AM,614
2025,STATE DEPARTMENT OF EDUCATION,ST MARY'S CATHOLIC CHURCH,ST MARY'S CATHOLIC CHURCH,20784,21721,1,2025 Jan 01 12:00:00 AM,R00
2026,IAC ON SCHOOL CONSTRUCTION - CAPITAL,ST MARY'S CATHOLIC CHURCH,ST MARY'S CATHOLIC CHURCH,20784,34146.32,1,2026 Jan 01 12:00:00 AM,614
2024,IAC ON SCHOOL CONSTRUCTION - CAPITAL,ST MARY'S CATHOLIC CHURCH AND SCHOOL,ST MARY'S CATHOLIC CHURCH AND SCHOOL,20617,41345,1,2024 Jan 01 12:00:00 AM,614
2024,STATE DEPARTMENT OF EDUCATION,ST MARY'S CATHOLIC CHURCH AND SCHOOL,ST MARY'S CATHOLIC CHURCH AND SCHOOL,20617,34535.51,1,2024 Jan 01 12:00:00 AM,R00
2025,STATE DEPARTMENT OF EDUCATION,ST MARY'S CHURCH AND SCHOOL,ST MARY'S CHURCH AND SCHOOL,20617,51674,1,2025 Jan 01 12:00:00 AM,R00
2024,DEPARTMENT OF EMERGENCY MANAGEMENT,ST MARYS ROMAN CATHOLIC CONGREGATION INC,ST MARYS ROMAN CATHOLIC CONGREGATION INC,21401,182425.57,1,2024 Jan 01 12:00:00 AM,D52
2024,IAC ON SCHOOL CONSTRUCTION - CAPITAL,ST MARYS ROMAN CATHOLIC CONGREGATION INC,ST MARYS ROMAN CATHOLIC CONGREGATION INC,21401,23542.59,1,2024 Jan 01 12:00:00 AM,614
2024,STATE DEPARTMENT OF EDUCATION,ST MARYS ROMAN CATHOLIC CONGREGATION INC,ST MARYS ROMAN CATHOLIC CONGREGATION INC,21401,29661.03,1,2024 Jan 01 12:00:00 AM,R00
2023,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ST MATTHEWS UNITED METHODIST CHURCH,ST MATTHEWS UNITED METHODIST CHURCH,21222,25000,1,2023 Jan 01 12:00:00 AM,S00
2024,GOV OFFICE CRIME PREVENTION AND POLICY,ST MATTHEWS UNITED METHODIST CHURCH,ST MATTHEWS UNITED METHODIST CHURCH,20715,38011,1,2024 Jan 01 12:00:00 AM,D21
2019,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST MICHAEL'S CATHOLIC SCHOOL,ST MICHAEL'S CATHOLIC SCHOOL,20680,72450,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2026,IAC ON SCHOOL CONSTRUCTION - CAPITAL,ST MICHAEL'S CATHOLIC SCHOOL,ST MICHAEL'S CATHOLIC SCHOOL,20680,62486.4,1,2026 Jan 01 12:00:00 AM,614
2024,DEPARTMENT OF EMERGENCY MANAGEMENT,ST MICHAEL'S POPLAR SPGS ROMAN CATHOLIC CONGRE INC,ST MICHAEL'S POPLAR SPGS ROMAN CATHOLIC CONGRE INC,21771,40735.12,1,2024 Jan 01 12:00:00 AM,D52
2024,GOV OFFICE CRIME PREVENTION AND POLICY,ST MICHAEL'S POPLAR SPGS ROMAN CATHOLIC CONGRE INC,ST MICHAEL'S POPLAR SPGS ROMAN CATHOLIC CONGRE INC,21771,68704.56,1,2024 Jan 01 12:00:00 AM,D21
2024,STATE DEPARTMENT OF EDUCATION,ST MICHAEL'S POPLAR SPGS ROMAN CATHOLIC CONGRE INC,ST MICHAEL'S POPLAR SPGS ROMAN CATHOLIC CONGRE INC,21771,4500,1,2024 Jan 01 12:00:00 AM,R00
2025,DEPARTMENT OF EMERGENCY MANAGEMENT,ST MICHAEL'S POPLAR SPGS ROMAN CATHOLIC CONGRE INC,ST MICHAEL'S POPLAR SPGS ROMAN CATHOLIC CONGRE INC,21771,82099.39,1,2025 Jan 01 12:00:00 AM,D52
2025,GOV OFFICE CRIME PREVENTION AND POLICY,ST MICHAEL'S POPLAR SPGS ROMAN CATHOLIC CONGRE INC,ST MICHAEL'S POPLAR SPGS ROMAN CATHOLIC CONGRE INC,21771,295.44,1,2025 Jan 01 12:00:00 AM,D21
2025,STATE DEPARTMENT OF EDUCATION,ST MICHAEL'S POPLAR SPGS ROMAN CATHOLIC CONGRE INC,ST MICHAEL'S POPLAR SPGS ROMAN CATHOLIC CONGRE INC,21771,46456.52,1,2025 Jan 01 12:00:00 AM,R00
2021,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ST NICHOLAS GREEK ORTHODOX CHURCH,ST NICHOLAS GREEK ORTHODOX CHURCH,21224,25000,1,2021 Jan 01 12:00:00 AM,S00
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,ST NICHOLAS GREEK ORTHODOX CHURCH,ST NICHOLAS GREEK ORTHODOX CHURCH,21224,25403.89,1,2021 Jan 01 12:00:00 AM,R00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,ST NICHOLAS GREEK ORTHODOX CHURCH,ST NICHOLAS GREEK ORTHODOX CHURCH,21224,78273.71,1,2022 Jan 01 12:00:00 AM,R00
2025,IAC ON SCHOOL CONSTRUCTION - CAPITAL,ST NICHOLAS GREEK ORTHODOX CHURCH,ST NICHOLAS GREEK ORTHODOX CHURCH,21224,10010,1,2025 Jan 01 12:00:00 AM,614
2025,STATE DEPARTMENT OF EDUCATION,ST NICHOLAS GREEK ORTHODOX CHURCH,ST NICHOLAS GREEK ORTHODOX CHURCH,21224,53793,1,2025 Jan 01 12:00:00 AM,R00
2024,GOV OFFICE CRIME PREVENTION AND POLICY,ST PATRICKS ROMAN CATHOLIC CONGREGATION,ST PATRICKS ROMAN CATHOLIC CONGREGATION,21078,104997.99,1,2024 Jan 01 12:00:00 AM,D21
2025,GOV OFFICE CRIME PREVENTION AND POLICY,ST PATRICKS ROMAN CATHOLIC CONGREGATION,ST PATRICKS ROMAN CATHOLIC CONGREGATION,21078,61615,1,2025 Jan 01 12:00:00 AM,D21
2021,MARYLAND OFFICE OF PLANNING,ST PAUL CHURCH HISTORICAL REVITALIZATION &,ST PAUL CHURCH HISTORICAL REVITALIZATION &,20748,106202.5,1,2021 Jan 01 12:00:00 AM,624
2023,MARYLAND OFFICE OF PLANNING,ST PAUL CHURCH HISTORICAL REVITALIZATION &,ST PAUL CHURCH HISTORICAL REVITALIZATION &,20748,43830,1,2023 Jan 01 12:00:00 AM,624
2024,MARYLAND OFFICE OF PLANNING,ST PAUL CHURCH HISTORICAL REVITALIZATION &,ST PAUL CHURCH HISTORICAL REVITALIZATION &,20748,54289,1,2024 Jan 01 12:00:00 AM,624
2021,DEPARTMENT OF COMMERCE,ST PAUL LUTHERAN CHURCH & SCHOOL,ST PAUL LUTHERAN CHURCH & SCHOOL,21228,10000,1,2021 Jan 01 12:00:00 AM,T00
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,ST PAUL LUTHERAN CHURCH & SCHOOL,ST PAUL LUTHERAN CHURCH & SCHOOL,21228,34945.92,1,2021 Jan 01 12:00:00 AM,R00
2022,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST PAUL LUTHERAN CHURCH & SCHOOL,ST PAUL LUTHERAN CHURCH & SCHOOL,21228,3251.18,1,2022 Jan 01 12:00:00 AM,614
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,ST PAUL LUTHERAN CHURCH & SCHOOL,ST PAUL LUTHERAN CHURCH & SCHOOL,21228,93775.47,1,2022 Jan 01 12:00:00 AM,R00
2023,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST PAUL LUTHERAN CHURCH & SCHOOL,ST PAUL LUTHERAN CHURCH & SCHOOL,21228,12718.52,1,2023 Jan 01 12:00:00 AM,614
2023,STATE DEPARTMENT OF EDUCATION,ST PAUL LUTHERAN CHURCH & SCHOOL,ST PAUL LUTHERAN CHURCH & SCHOOL,21228,52375.46,1,2023 Jan 01 12:00:00 AM,R00
2024,IAC ON SCHOOL CONSTRUCTION - CAPITAL,ST PAUL LUTHERAN CHURCH & SCHOOL,ST PAUL LUTHERAN CHURCH & SCHOOL,21228,12771,1,2024 Jan 01 12:00:00 AM,614
2024,STATE DEPARTMENT OF EDUCATION,ST PAUL LUTHERAN CHURCH & SCHOOL,ST PAUL LUTHERAN CHURCH & SCHOOL,21228,32517,1,2024 Jan 01 12:00:00 AM,R00
2025,IAC ON SCHOOL CONSTRUCTION - CAPITAL,ST PAUL LUTHERAN CHURCH & SCHOOL,ST PAUL LUTHERAN CHURCH & SCHOOL,21228,23542.59,1,2025 Jan 01 12:00:00 AM,614
2025,STATE DEPARTMENT OF EDUCATION,ST PAUL LUTHERAN CHURCH & SCHOOL,ST PAUL LUTHERAN CHURCH & SCHOOL,21228,100840.82,1,2025 Jan 01 12:00:00 AM,R00
2026,STATE DEPARTMENT OF EDUCATION,ST PAUL LUTHERAN CHURCH & SCHOOL,ST PAUL LUTHERAN CHURCH & SCHOOL,21228,46671.65,1,2026 Jan 01 12:00:00 AM,R00
2019,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST PAUL LUTHERAN SCHOOL,ST PAUL LUTHERAN SCHOOL,21228,47514,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2021,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST PAUL'S LUTHERAN CHILD CARE,ST PAUL'S LUTHERAN CHILD CARE,21061,14115,1,2021 Jan 01 12:00:00 AM,614
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,ST PAUL'S LUTHERAN CHILD CARE,ST PAUL'S LUTHERAN CHILD CARE,21061,79680,1,2021 Jan 01 12:00:00 AM,R00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,ST PAUL'S LUTHERAN CHILD CARE,ST PAUL'S LUTHERAN CHILD CARE,21061,207319,1,2022 Jan 01 12:00:00 AM,R00
2023,STATE DEPARTMENT OF EDUCATION,ST PAUL'S LUTHERAN CHILD CARE,ST PAUL'S LUTHERAN CHILD CARE,21061,112602.54,1,2023 Jan 01 12:00:00 AM,R00
2024,STATE DEPARTMENT OF EDUCATION,ST PAUL'S LUTHERAN CHILD CARE,ST PAUL'S LUTHERAN CHILD CARE,21061,43059.36,1,2024 Jan 01 12:00:00 AM,R00
2025,STATE DEPARTMENT OF EDUCATION,ST PAUL'S LUTHERAN CHILD CARE,ST PAUL'S LUTHERAN CHILD CARE,21061,47422.7,1,2025 Jan 01 12:00:00 AM,R00
2026,STATE DEPARTMENT OF EDUCATION,ST PAUL'S LUTHERAN CHILD CARE,ST PAUL'S LUTHERAN CHILD CARE,21061,65429.17,1,2026 Jan 01 12:00:00 AM,R00
2021,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,"ST PAULS MORAVIAN CHURCH OF UPPER MARLBORO MD, INC","ST PAULS MORAVIAN CHURCH OF UPPER MARLBORO MD, INC",20772,25000,1,2021 Jan 01 12:00:00 AM,S00
2018,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST PETER'S CHURCH SCHOOL,ST PETER'S CHURCH SCHOOL,20601,24240,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2018,MARYLAND STATE DEPARTMENT OF EDUCATION,ST PETER'S CHURCH SCHOOL,ST PETER'S CHURCH SCHOOL,20601,3633.47,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2020,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST PETER'S CHURCH SCHOOL,ST PETER'S CHURCH SCHOOL,20601,41604,1,2020 Jan 01 12:00:00 AM,614
2021,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST PETER'S CHURCH SCHOOL,ST PETER'S CHURCH SCHOOL,20601,37194.49,1,2021 Jan 01 12:00:00 AM,614
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,ST PETER'S CHURCH SCHOOL,ST PETER'S CHURCH SCHOOL,20601,5615.11,1,2021 Jan 01 12:00:00 AM,R00
2022,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST PETER'S CHURCH SCHOOL,ST PETER'S CHURCH SCHOOL,20601,39881.22,1,2022 Jan 01 12:00:00 AM,614
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,ST PETER'S CHURCH SCHOOL,ST PETER'S CHURCH SCHOOL,20601,12520,1,2022 Jan 01 12:00:00 AM,R00
2024,IAC ON SCHOOL CONSTRUCTION - CAPITAL,ST PETER'S CHURCH SCHOOL,ST PETER'S CHURCH SCHOOL,20601,43070.59,1,2024 Jan 01 12:00:00 AM,614
2024,STATE DEPARTMENT OF EDUCATION,ST PETER'S CHURCH SCHOOL,ST PETER'S CHURCH SCHOOL,20601,24280.42,1,2024 Jan 01 12:00:00 AM,R00
2025,STATE DEPARTMENT OF EDUCATION,ST PETER'S CHURCH SCHOOL,ST PETER'S CHURCH SCHOOL,20601,25996,1,2025 Jan 01 12:00:00 AM,R00
2026,IAC ON SCHOOL CONSTRUCTION - CAPITAL,ST PETER'S CHURCH SCHOOL,ST PETER'S CHURCH SCHOOL,20601,25609.74,1,2026 Jan 01 12:00:00 AM,614
2026,STATE DEPARTMENT OF EDUCATION,ST PETER'S CHURCH SCHOOL,ST PETER'S CHURCH SCHOOL,20601,15885,1,2026 Jan 01 12:00:00 AM,R00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,ST PHILIP NERI ROMAN CATHOLIC CONGREGATION INC,ST PHILIP NERI ROMAN CATHOLIC CONGREGATION INC,21090,63186,1,2022 Jan 01 12:00:00 AM,R00
2022,MD DEPARTMENT OF HUMAN SERVICES,ST PHILIP NERI ROMAN CATHOLIC CONGREGATION INC,ST PHILIP NERI ROMAN CATHOLIC CONGREGATION INC,21090,2000,1,2022 Jan 01 12:00:00 AM,N00
2026,IAC ON SCHOOL CONSTRUCTION - CAPITAL,ST PHILIP THE APOSTLE CHURCH,ST PHILIP THE APOSTLE CHURCH,20746,35370,1,2026 Jan 01 12:00:00 AM,614
2026,STATE DEPARTMENT OF EDUCATION,ST PHILIP THE APOSTLE CHURCH,ST PHILIP THE APOSTLE CHURCH,20746,13265.06,1,2026 Jan 01 12:00:00 AM,R00
2025,GOV OFFICE CRIME PREVENTION AND POLICY,ST PHILIP'S EPISCOPAL CHURCH,ST PHILIP'S EPISCOPAL CHURCH,21401,58342,1,2025 Jan 01 12:00:00 AM,D21
2022,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST PIUS X CHURCH,ST PIUS X CHURCH,20715,65585,1,2022 Jan 01 12:00:00 AM,614
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,ST PIUS X CHURCH,ST PIUS X CHURCH,20715,116825.91,1,2022 Jan 01 12:00:00 AM,R00
2023,STATE DEPARTMENT OF EDUCATION,ST PIUS X CHURCH,ST PIUS X CHURCH,20715,103266,1,2023 Jan 01 12:00:00 AM,R00
2024,STATE DEPARTMENT OF EDUCATION,ST PIUS X CHURCH,ST PIUS X CHURCH,20715,31725.03,1,2024 Jan 01 12:00:00 AM,R00
2025,STATE DEPARTMENT OF EDUCATION,ST PIUS X CHURCH,ST PIUS X CHURCH,20715,40527.6,1,2025 Jan 01 12:00:00 AM,R00
2024,IAC ON SCHOOL CONSTRUCTION - CAPITAL,ST RAPHAELS CHURCH,ST RAPHAELS CHURCH,20854,7847.53,1,2024 Jan 01 12:00:00 AM,614
2024,STATE DEPARTMENT OF EDUCATION,ST RAPHAELS CHURCH,ST RAPHAELS CHURCH,20854,47034.68,1,2024 Jan 01 12:00:00 AM,R00
2016,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST STEPHEN ROMAN CATHOLIC ELEM,ST STEPHEN ROMAN CATHOLIC ELEM,21087,24100,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2016,MARYLAND STATE DEPARTMENT OF EDUCATION,ST STEPHEN ROMAN CATHOLIC ELEM,ST STEPHEN ROMAN CATHOLIC ELEM,21087,1646.8,1,2016 Jan 01 12:00:00 AM,Vendor Payment
2018,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST STEPHEN ROMAN CATHOLIC ELEM,ST STEPHEN ROMAN CATHOLIC ELEM,21087,24000,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2018,MARYLAND STATE DEPARTMENT OF EDUCATION,ST STEPHEN ROMAN CATHOLIC ELEM,ST STEPHEN ROMAN CATHOLIC ELEM,21087,2018.14,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2019,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST STEPHEN ROMAN CATHOLIC ELEM,ST STEPHEN ROMAN CATHOLIC ELEM,21087,20836.33,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2019,MARYLAND STATE DEPARTMENT OF EDUCATION,ST STEPHEN ROMAN CATHOLIC ELEM,ST STEPHEN ROMAN CATHOLIC ELEM,21087,6687.37,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2021,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST STEPHEN ROMAN CATHOLIC ELEM,ST STEPHEN ROMAN CATHOLIC ELEM,21087,22620,1,2021 Jan 01 12:00:00 AM,614
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,ST STEPHEN ROMAN CATHOLIC ELEM,ST STEPHEN ROMAN CATHOLIC ELEM,21087,49808.64,1,2021 Jan 01 12:00:00 AM,R00
2024,IAC ON SCHOOL CONSTRUCTION - CAPITAL,ST STEPHEN ROMAN CATHOLIC ELEM,ST STEPHEN ROMAN CATHOLIC ELEM,21087,20040,1,2024 Jan 01 12:00:00 AM,614
2024,STATE DEPARTMENT OF EDUCATION,ST STEPHEN ROMAN CATHOLIC ELEM,ST STEPHEN ROMAN CATHOLIC ELEM,21087,53667.5,1,2024 Jan 01 12:00:00 AM,R00
2023,DEPT OF HOUSING & COMMUNITY DEVELOPMENT,ST TIMOTHY ROMAN CATHOLIC CONGREGATION INC,ST TIMOTHY ROMAN CATHOLIC CONGREGATION INC,21793,25000,1,2023 Jan 01 12:00:00 AM,S00
2024,DEPARTMENT OF EMERGENCY MANAGEMENT,ST TIMOTHY ROMAN CATHOLIC CONGREGATION INC,ST TIMOTHY ROMAN CATHOLIC CONGREGATION INC,21793,46989,1,2024 Jan 01 12:00:00 AM,D52
2018,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,"ST. AGNES CATHOLIC SCHOOL, INC.","ST. AGNES CATHOLIC SCHOOL, INC.",21229,32458.04,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2019,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,"ST. AGNES CATHOLIC SCHOOL, INC.","ST. AGNES CATHOLIC SCHOOL, INC.",21229,79486.12,1,2019 Jan 01 12:00:00 AM,Vendor Payment
2024,DEPARTMENT OF EMERGENCY MANAGEMENT,"ST. AGNES CATHOLIC SCHOOL, INC.","ST. AGNES CATHOLIC SCHOOL, INC.",21229,69088.63,1,2024 Jan 01 12:00:00 AM,D52
2024,STATE DEPARTMENT OF EDUCATION,"ST. AGNES CATHOLIC SCHOOL, INC.","ST. AGNES CATHOLIC SCHOOL, INC.",21229,13269,1,2024 Jan 01 12:00:00 AM,R00
2026,DEPARTMENT OF EMERGENCY MANAGEMENT,"ST. AGNES CATHOLIC SCHOOL, INC.","ST. AGNES CATHOLIC SCHOOL, INC.",21229,70882.37,1,2026 Jan 01 12:00:00 AM,D52
2025,GOV OFFICE CRIME PREVENTION AND POLICY,ST. ALBANS EPISCOPAL PARISH,ST. ALBANS EPISCOPAL PARISH,21061,81125,1,2025 Jan 01 12:00:00 AM,D21
2023,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST. ANDREW APOSTLE CATHOLIC CHURCH,ST. ANDREW APOSTLE CATHOLIC CHURCH,20902,23270,1,2023 Jan 01 12:00:00 AM,614
2023,STATE DEPARTMENT OF EDUCATION,ST. ANDREW APOSTLE CATHOLIC CHURCH,ST. ANDREW APOSTLE CATHOLIC CHURCH,20902,35485,1,2023 Jan 01 12:00:00 AM,R00
2024,DEPARTMENT OF EMERGENCY MANAGEMENT,ST. AUGUSTINES WILLIAMSPORT ROMAN CATHOLIC CONG,ST. AUGUSTINES WILLIAMSPORT ROMAN CATHOLIC CONG,21795,48825.54,1,2024 Jan 01 12:00:00 AM,D52
2026,MARYLAND ENERGY ADMINISTRATION,ST. BARTHOLOMEW'S EPISCOPAL CHURCH,ST. BARTHOLOMEW'S EPISCOPAL CHURCH,21229,31450,1,2026 Jan 01 12:00:00 AM,D13
2022,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST. BERNADETTE CHURCH,ST. BERNADETTE CHURCH,20901,41344,1,2022 Jan 01 12:00:00 AM,614
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,ST. BERNADETTE CHURCH,ST. BERNADETTE CHURCH,20901,126902.72,1,2022 Jan 01 12:00:00 AM,R00
2024,DEPARTMENT OF EMERGENCY MANAGEMENT,ST. CONSTANTINE HELEN GREEK ORTHODOX CHURCH,ST. CONSTANTINE HELEN GREEK ORTHODOX CHURCH,21401,107643,1,2024 Jan 01 12:00:00 AM,D52
2025,GOV OFFICE CRIME PREVENTION AND POLICY,ST. IGNATIUS CATHOLIC CHURCH,ST. IGNATIUS CATHOLIC CHURCH,21202,52214,1,2025 Jan 01 12:00:00 AM,D21
2021,MARYLAND STATE DEPARTMENT OF EDUCATION,ST. JAMES BRETHREN CHURCH,ST. JAMES BRETHREN CHURCH,21733,48282.49,1,2021 Jan 01 12:00:00 AM,R00
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,ST. JAMES BRETHREN CHURCH,ST. JAMES BRETHREN CHURCH,21733,27671.27,1,2022 Jan 01 12:00:00 AM,R00
2023,STATE DEPARTMENT OF EDUCATION,ST. JAMES BRETHREN CHURCH,ST. JAMES BRETHREN CHURCH,21733,58937.2,1,2023 Jan 01 12:00:00 AM,R00
2024,STATE DEPARTMENT OF EDUCATION,ST. JAMES BRETHREN CHURCH,ST. JAMES BRETHREN CHURCH,21733,98201.7,1,2024 Jan 01 12:00:00 AM,R00
2025,STATE DEPARTMENT OF EDUCATION,ST. JAMES BRETHREN CHURCH,ST. JAMES BRETHREN CHURCH,21733,120077.74,1,2025 Jan 01 12:00:00 AM,R00
2026,STATE DEPARTMENT OF EDUCATION,ST. JAMES BRETHREN CHURCH,ST. JAMES BRETHREN CHURCH,21733,68642.55,1,2026 Jan 01 12:00:00 AM,R00
2018,DEPARTMENT OF THE ENVIRONMENT,ST. JOHN NEUMANN CATHOLIC CHURCH,ST JOHN NEUMANN CATHOLIC CHURCH,21811,60000,1,2018 Jan 01 12:00:00 AM,Vendor Payment
2022,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST. JOHN THE EVANGELIST,ST. JOHN THE EVANGELIST,21146,37752,1,2022 Jan 01 12:00:00 AM,614
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,ST. JOHN THE EVANGELIST,ST. JOHN THE EVANGELIST,21146,158037.65,1,2022 Jan 01 12:00:00 AM,R00
2023,STATE DEPARTMENT OF EDUCATION,ST. JOHN THE EVANGELIST,ST. JOHN THE EVANGELIST,21146,28956,1,2023 Jan 01 12:00:00 AM,R00
2022,IAC PUBLIC SCHOOL CONSTRUCTION -CAPITAL,ST. JOHN THE EVANGELIST SCHOOL BEFORE & AFTER  PRO,ST. JOHN THE EVANGELIST SCHOOL BEFORE & AFTER  PRO,20735,40518,1,2022 Jan 01 12:00:00 AM,614
2022,MARYLAND STATE DEPARTMENT OF EDUCATION,ST. JOHN THE EVANGELIST SCHOOL BEFORE & AFTER  PRO,ST. JOHN THE EVANGELIST SCHOOL BEFORE & AFTER  PRO,20735,103436.71,1,2022 Jan 01 12:00:00 AM,R00
2011,MARYLAND OFFICE OF PLANNING,ST. LUKE'S CHURCH,ST. LUKE'S CHURCH,21223,38393.9,1,2011 Jan 01 12:00:00 AM,Vendor Payment
2012,MARYLAND OFFICE OF PLANNING,ST. LUKE'S CHURCH,ST. LUKE'S CHURCH,21223,43857.1,1,2012 Jan 01 12:00:00 AM,Vendor Payment
